2019-05-16 17:45:27: Cannot Connect to https://mediator.goodsync.com/Z_time_checker.php: [connecting mediator.goodsync.com:443]: Time out
2019-05-16 17:46:11: -- 分析开始 User Command
2019-05-16 17:57:17: 变更：1,336， 冲突：0， 复制时间：0， 复制状态：1， 错误： 0, All: 10992
2019-05-16 17:57:17: Left to Right: Copy File: 1336 
2019-05-16 17:57:59: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cowlib-2.3.0/ebin/cow_ws.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cowlib-2.3.0/ebin/cow_ws.beam' (27,088)
2019-05-16 17:58:00: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cowlib-2.3.0/ebin/cowlib.app' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cowlib-2.3.0/ebin/cowlib.app' (392)
2019-05-16 17:58:02: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cowlib-2.3.0/ebin/dep_built' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cowlib-2.3.0/ebin/dep_built' (0)
2019-05-16 17:58:04: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cowlib-2.3.0/include/cow_inline.hrl' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cowlib-2.3.0/include/cow_inline.hrl' (21,940)
2019-05-16 17:58:05: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cowlib-2.3.0/include/cow_parse.hrl' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cowlib-2.3.0/include/cow_parse.hrl' (3,259)
2019-05-16 17:58:07: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/crypto-4.3/ebin/crypto.app' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/crypto-4.3/ebin/crypto.app' (1,004)
2019-05-16 17:58:08: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/crypto-4.3/ebin/crypto.appup' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/crypto-4.3/ebin/crypto.appup' (810)
2019-05-16 17:58:10: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/crypto-4.3/ebin/crypto.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/crypto-4.3/ebin/crypto.beam' (48,328)
2019-05-16 17:58:12: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/crypto-4.3/ebin/crypto_ec_curves.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/crypto-4.3/ebin/crypto_ec_curves.beam' (39,292)
2019-05-16 17:58:16: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/crypto-4.3/priv/lib/crypto.dll' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/crypto-4.3/priv/lib/crypto.dll' (1,537,536)
2019-05-16 17:58:18: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/crypto-4.3/priv/lib/crypto_callback.dll' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/crypto-4.3/priv/lib/crypto_callback.dll' (7,680)
2019-05-16 17:58:22: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/crypto-4.3/priv/lib/otp_test_engine.dll' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/crypto-4.3/priv/lib/otp_test_engine.dll' (1,707,008)
2019-05-16 17:58:24: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/crypto-4.3/priv/obj/crypto.o' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/crypto-4.3/priv/obj/crypto.o' (208,240)
2019-05-16 17:58:26: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/crypto-4.3/priv/obj/crypto_callback.o' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/crypto-4.3/priv/obj/crypto_callback.o' (12,604)
2019-05-16 17:58:31: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/crypto-4.3/priv/obj/Makefile' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/crypto-4.3/priv/obj/Makefile' (2,533)
2019-05-16 17:58:32: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/crypto-4.3/priv/obj/otp_test_engine.o' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/crypto-4.3/priv/obj/otp_test_engine.o' (36,179)
2019-05-16 17:58:35: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cuttlefish-win30/ebin/conf_parse.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cuttlefish-win30/ebin/conf_parse.beam' (16,980)
2019-05-16 17:58:36: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish.app' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish.app' (923)
2019-05-16 17:58:38: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish.beam' (2,720)
2019-05-16 17:58:40: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_advanced.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_advanced.beam' (1,552)
2019-05-16 17:58:42: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_bytesize.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_bytesize.beam' (2,444)
2019-05-16 17:58:43: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_conf.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_conf.beam' (9,640)
